Country,Year,Tech Sector,Market Share (%), R&D Investment (in USD) ,Number of Patents Filed (Annual),Number of Tech Companies, Tech Exports (in USD) ,Number of Startups, Venture Capital Funding (in USD) ,Global Innovation Ranking,Internet Penetration (%),5G Network Coverage (%),University Research Collaborations,Top Tech Products Exported,Number of Tech Workers
China,2010,AI,41.50%," $94,805,833,627 ",8355,377," $73,708,489,736.29 ",123," $6,127,029,276 ",3,79%,22%,135,Robots,276137
Japan,2021,AI,39.52%," $27,986,107,368 ",2990,637," $94,858,427,851.56 ",236," $14,069,192,692 ",10,63%,42%,66,Semiconductors,753196
Japan,2022,Cloud Computing,9.87%," $65,473,374,793 ",6907,1396," $68,667,091,026.04 ",327," $1,008,192,551 ",5,56%,15%,175,Cloud Servers,684875
Japan,2018,Biotechnology,25.37%," $26,246,959,835 ",1076,1439," $38,945,347,198.67 ",120," $48,699,704,209 ",12,47%,23%,112,Semiconductors,225402
Japan,2021,Telecommunications,49.53%," $63,383,829,154 ",9487,124," $123,314,581,371.47 ",437," $26,775,149,364 ",1,57%,76%,49,5G Equipment,181314
Japan,2019,Robotics,20.84%," $47,693,707,667 ",6095,1163," $20,380,740,861.32 ",299," $23,155,947,271 ",7,62%,25%,182,Semiconductors,248333
Japan,2000,Telecommunications,11.74%," $70,842,998,472 ",7975,447," $19,941,250,977.72 ",121," $4,876,911,816 ",7,79%,14%,115,Semiconductors,835623
Japan,2007,Robotics,33.55%," $6,454,283,547 ",4004,1781," $114,431,785,785.27 ",188," $9,305,554,770 ",12,92%,20%,188,Robots,86945
China,2022,Software,17.94%," $35,364,614,788 ",1162,697," $51,604,829,944.95 ",202," $46,986,936,356 ",11,72%,21%,156,Semiconductors,431753
China,2018,Biotechnology,23.28%," $11,252,121,414 ",2987,1485," $128,830,227,916.24 ",305," $9,357,038,546 ",5,77%,25%,156,Cloud Servers,492759
China,2017,Software,7.01%," $17,399,278,105 ",1601,1426," $26,621,920,089.99 ",143," $39,925,678,108 ",9,57%,88%,186,AI Chips,434386
China,2007,Robotics,18.01%," $62,666,793,408 ",1948,262," $143,121,070,606.79 ",183," $3,118,409,738 ",8,87%,45%,67,AI Chips,762755
China,2004,Biotechnology,17.00%," $99,716,071,006 ",5860,532," $60,967,242,987.47 ",284," $43,701,069,464 ",8,47%,38%,8,AI Chips,500445
Japan,2014,Semiconductor,33.70%," $99,703,156,697 ",3959,1281," $95,258,847,149.72 ",426," $47,069,506,064 ",3,51%,12%,178,Robots,547170
China,2015,Biotechnology,19.35%," $44,212,885,553 ",6760,402," $122,440,720,523.47 ",493," $31,354,896,903 ",9,83%,27%,67,AI Chips,310603
China,2003,Telecommunications,33.58%," $47,390,103,373 ",2901,1818," $48,657,351,402.87 ",67," $23,182,372,205 ",10,89%,55%,38,5G Equipment,583602
Japan,2015,Robotics,41.59%," $22,559,929,496 ",578,1936," $133,291,433,557.08 ",232," $2,659,589,432 ",19,44%,75%,110,AI Chips,330250
Japan,2016,Robotics,35.91%," $96,224,684,728 ",5404,1746," $91,858,661,743.47 ",80," $47,584,917,170 ",15,59%,26%,100,Robots,304779
China,2016,Robotics,44.79%," $87,304,511,276 ",8586,822," $111,718,613,434.48 ",187," $48,038,873,734 ",7,82%,54%,87,Cloud Servers,111650
Japan,2014,Biotechnology,12.21%," $25,621,637,626 ",5946,407," $177,669,221,002.51 ",379," $18,055,760,767 ",15,80%,77%,101,Semiconductors,540199
Japan,2004,Semiconductor,20.62%," $86,743,407,665 ",6960,899," $85,457,104,558.97 ",256," $48,209,657,121 ",19,94%,53%,155,Semiconductors,15696
China,2023,Telecommunications,40.84%," $66,141,072,095 ",5500,1827," $141,362,371,767.72 ",480," $36,483,124,556 ",13,51%,60%,26,Robots,213229
Japan,2021,Cloud Computing,39.13%," $52,799,019,095 ",6947,1995," $180,330,532,824.04 ",158," $37,153,833,668 ",9,61%,27%,61,Cloud Servers,629651
China,2000,AI,40.55%," $50,500,198,759 ",7876,1677," $48,200,452,979.79 ",276," $30,919,322,176 ",15,72%,86%,167,Robots,594893
China,2008,Cloud Computing,23.33%," $54,325,885,434 ",5616,1976," $44,048,006,061.03 ",179," $36,647,078,066 ",12,97%,56%,108,Robots,777090
China,2000,Software,8.24%," $89,527,663,085 ",3734,988," $187,782,948,903.61 ",275," $41,787,653,070 ",16,42%,56%,29,AI Chips,149101
Japan,2015,Software,22.64%," $5,409,809,512 ",4192,1867," $158,738,012,891.59 ",483," $27,981,913,757 ",6,52%,58%,44,AI Chips,166142
Japan,2009,Software,45.85%," $79,299,472,724 ",6704,53," $33,832,296,417.84 ",46," $7,016,987,709 ",5,52%,79%,93,Semiconductors,306241
China,2017,Cloud Computing,34.16%," $8,133,964,284 ",6386,755," $192,687,213,242.31 ",486," $31,339,036,599 ",2,80%,43%,53,Robots,387977
Japan,2014,Software,7.27%," $63,206,703,159 ",5965,1887," $15,688,420,235.11 ",384," $36,814,495 ",8,81%,71%,83,AI Chips,942085
Japan,2020,Software,28.01%," $78,406,139,582 ",2970,896," $166,216,776,358.07 ",33," $42,642,815,426 ",16,45%,13%,166,Robots,592046
Japan,2010,Telecommunications,48.72%," $71,767,037,893 ",7192,1149," $151,409,109,699.95 ",336," $6,488,920,574 ",13,60%,13%,18,Cloud Servers,382290
China,2009,Robotics,12.04%," $31,690,965,572 ",8332,1125," $118,794,746,746.82 ",429," $36,622,839,679 ",2,78%,32%,99,Cloud Servers,477468
Japan,2005,Robotics,20.91%," $76,116,209,484 ",8118,125," $45,641,288,386.40 ",369," $32,784,470,295 ",16,77%,70%,13,Robots,214784
China,2010,Telecommunications,35.99%," $61,656,351,392 ",4300,1316," $141,881,834,413.34 ",94," $10,304,673,642 ",13,93%,28%,43,AI Chips,984630
Japan,2010,Cloud Computing,20.65%," $10,763,056,571 ",9137,421," $88,524,550,538.33 ",30," $4,789,736,781 ",9,91%,45%,47,Cloud Servers,248565
China,2018,Software,45.40%," $26,178,918,037 ",2232,1681," $139,325,452,654.19 ",323," $12,962,998,754 ",4,89%,13%,182,5G Equipment,981888
Japan,2013,Telecommunications,32.34%," $17,563,616,161 ",3680,503," $37,227,670,651.78 ",251," $13,058,471,048 ",11,73%,63%,156,5G Equipment,389212
China,2008,Semiconductor,9.92%," $91,090,099,989 ",3837,394," $63,953,557,122.33 ",181," $2,190,964,184 ",17,76%,88%,140,Cloud Servers,937773
Japan,2021,Cloud Computing,44.49%," $53,819,425,792 ",6890,493," $182,850,820,028.34 ",328," $8,568,865,745 ",9,49%,16%,164,Robots,39348
Japan,2006,Software,42.41%," $93,827,170,685 ",5122,1079," $103,202,994,546.00 ",294," $3,363,905,592 ",15,84%,27%,15,Robots,548362
Japan,2000,Biotechnology,39.33%," $87,881,670,167 ",3124,412," $49,311,168,769.07 ",197," $31,895,659,945 ",15,83%,43%,28,5G Equipment,343204
Japan,2015,Cloud Computing,32.67%," $1,486,632,439 ",3542,385," $147,564,754,027.32 ",61," $17,795,412,361 ",18,65%,45%,143,Semiconductors,101317
Japan,2012,Robotics,26.55%," $26,761,500,717 ",3839,99," $191,315,750,895.02 ",244," $34,572,138,599 ",3,57%,24%,73,AI Chips,117349
Japan,2004,Telecommunications,44.34%," $52,185,862,866 ",1569,61," $6,771,844,258.12 ",382," $7,568,641,680 ",8,62%,85%,181,Cloud Servers,266013
China,2008,Cloud Computing,6.76%," $22,955,116,410 ",7545,1431," $42,682,914,084.91 ",376," $34,967,790,504 ",6,73%,64%,10,5G Equipment,726237
China,2015,Cloud Computing,17.40%," $59,133,963,787 ",8798,1363," $199,053,924,369.40 ",257," $33,194,721,664 ",16,76%,27%,194,Cloud Servers,653761
China,2003,Telecommunications,32.12%," $17,503,767,929 ",9658,258," $181,774,992,943.02 ",218," $46,471,856,316 ",2,95%,59%,132,5G Equipment,547336
China,2007,AI,40.69%," $69,190,392,992 ",1737,694," $85,119,930,674.01 ",97," $4,090,604,398 ",16,40%,76%,85,Semiconductors,945342
China,2015,Cloud Computing,21.82%," $80,932,215,467 ",391,837," $85,945,577,187.37 ",162," $47,594,794,223 ",8,72%,17%,171,Robots,711907
Japan,2002,Software,10.79%," $58,161,048,472 ",1865,1360," $185,697,087,792.74 ",161," $39,771,288,031 ",9,75%,55%,127,Semiconductors,507526
China,2001,Robotics,47.61%," $1,224,044,802 ",5294,1183," $164,898,741,636.13 ",327," $17,010,216,475 ",8,62%,58%,15,Robots,686283
Japan,2002,Telecommunications,11.64%," $32,957,897,332 ",5810,1644," $195,700,232,662.80 ",183," $42,484,759,914 ",6,65%,67%,129,Robots,272339
Japan,2010,Semiconductor,24.32%," $39,252,779,474 ",4317,1281," $41,484,876,677.99 ",76," $46,813,344,986 ",6,52%,74%,81,AI Chips,268793
China,2001,Cloud Computing,18.68%," $16,972,940,113 ",2177,736," $118,834,634,422.00 ",313," $33,276,322,845 ",15,71%,88%,109,5G Equipment,81453
China,2011,Cloud Computing,33.43%," $40,105,597,239 ",6477,1312," $35,157,936,963.19 ",299," $17,294,858,754 ",6,61%,80%,99,Semiconductors,506841
Japan,2015,Biotechnology,25.10%," $43,809,275,930 ",9255,763," $119,341,425,596.59 ",427," $44,079,716,949 ",18,50%,73%,52,Semiconductors,855306
China,2004,Software,28.58%," $96,439,057,536 ",4167,1001," $117,851,287,197.17 ",68," $32,393,687,518 ",15,54%,23%,91,Robots,270649
China,2015,Robotics,17.95%," $5,364,503,938 ",7415,1861," $111,306,771,845.76 ",151," $21,129,232,586 ",12,52%,20%,17,Semiconductors,78288
Japan,2011,Software,24.37%," $61,790,519,518 ",9579,1506," $81,670,535,725.57 ",56," $31,658,833,669 ",9,42%,60%,68,AI Chips,975061
Japan,2018,Biotechnology,40.20%," $36,277,234,264 ",9515,1101," $88,031,856,298.22 ",326," $8,312,438,066 ",18,82%,44%,117,Semiconductors,710224
China,2006,Semiconductor,21.65%," $56,278,440,987 ",5945,1151," $140,551,798,471.53 ",156," $22,148,317,132 ",6,46%,55%,68,Robots,696850
Japan,2017,Robotics,48.44%," $93,390,742,491 ",848,1869," $6,708,896,387.84 ",489," $49,310,723,417 ",9,62%,64%,75,Robots,711941
China,2006,Cloud Computing,10.56%," $33,275,372,638 ",2816,823," $34,768,860,948.23 ",38," $35,013,534,353 ",6,96%,20%,67,Robots,220135
China,2018,Software,39.31%," $9,169,557,934 ",6355,584," $47,368,005,416.68 ",18," $28,342,489,786 ",14,65%,37%,112,AI Chips,206287
Japan,2022,AI,43.19%," $73,235,310,519 ",2323,52," $193,913,833,449.76 ",313," $2,501,605,886 ",10,49%,41%,104,Robots,13513
Japan,2009,Software,38.89%," $35,716,722,358 ",7079,912," $158,719,285,933.15 ",338," $28,200,208,930 ",4,71%,27%,121,Robots,526753
China,2002,Cloud Computing,33.53%," $83,161,678,923 ",8943,1280," $20,720,962,908.40 ",64," $4,735,366,711 ",15,87%,42%,149,AI Chips,655661
China,2023,Software,5.83%," $10,398,099,963 ",6382,1826," $60,114,425,076.42 ",228," $33,790,919,686 ",9,63%,63%,122,AI Chips,93542
China,2020,Semiconductor,22.78%," $41,241,076,548 ",276,192," $12,471,675,133.43 ",417," $7,095,683,585 ",15,94%,36%,135,AI Chips,570189
China,2017,Cloud Computing,11.33%," $53,777,954,943 ",3787,1995," $119,112,512,068.84 ",148," $47,879,568,992 ",15,56%,71%,132,AI Chips,916312
China,2020,Software,26.20%," $32,520,474,239 ",5512,317," $125,996,159,639.10 ",223," $17,234,571,069 ",12,41%,53%,124,Robots,937936
China,2017,Software,35.90%," $75,518,320,977 ",7430,1391," $155,368,669,709.84 ",162," $3,694,125,450 ",11,65%,74%,97,Robots,32270
China,2022,Telecommunications,14.89%," $76,003,674,007 ",4752,1542," $167,272,513,189.36 ",365," $4,907,364,060 ",5,88%,90%,169,Robots,668838
Japan,2015,Biotechnology,30.95%," $6,513,474,467 ",3435,351," $141,507,195,124.51 ",199," $39,242,252,096 ",12,86%,74%,34,AI Chips,704872
China,2013,Telecommunications,33.84%," $32,135,040,851 ",6614,1287," $197,346,009,772.01 ",227," $41,758,493,263 ",11,86%,51%,44,5G Equipment,468961
Japan,2015,AI,49.73%," $55,760,328,950 ",7367,427," $182,251,503,300.99 ",12," $22,989,452,084 ",17,84%,31%,100,AI Chips,794369
China,2001,Robotics,34.70%," $90,578,124,883 ",536,1846," $94,309,207,729.86 ",92," $16,677,793,116 ",15,100%,23%,195,Cloud Servers,233668
Japan,2014,Semiconductor,29.74%," $4,066,700,802 ",2501,529," $142,364,742,193.42 ",372," $4,225,662,869 ",2,93%,37%,157,Cloud Servers,700525
Japan,2006,Biotechnology,23.14%," $72,823,011,604 ",4162,915," $130,168,564,104.63 ",470," $2,112,069,720 ",2,99%,38%,189,Cloud Servers,540152
China,2002,AI,26.59%," $39,565,535,222 ",9110,1870," $159,658,938,729.00 ",296," $34,902,728,860 ",8,43%,64%,127,Robots,329867
Japan,2013,AI,49.10%," $9,227,910,098 ",4810,1619," $105,952,876,306.66 ",160," $5,004,566,715 ",13,67%,49%,154,Cloud Servers,494351
China,2004,Telecommunications,5.28%," $12,795,268,295 ",1176,1016," $108,161,736,831.63 ",304," $12,263,247,325 ",15,64%,59%,171,Cloud Servers,782715
China,2009,Biotechnology,33.83%," $12,656,582,327 ",6503,320," $78,700,830,268.54 ",284," $46,479,898,349 ",16,74%,13%,107,5G Equipment,260462
Japan,2007,AI,23.76%," $92,908,168,295 ",6017,796," $166,589,397,689.78 ",240," $12,157,983,187 ",5,76%,35%,20,Robots,957383
China,2007,Telecommunications,7.36%," $36,149,901,014 ",5051,518," $69,293,325,768.59 ",496," $24,152,451,736 ",9,67%,23%,112,Semiconductors,573815
Japan,2021,Robotics,23.83%," $70,998,871,141 ",6655,180," $171,671,765,511.32 ",146," $49,099,521,407 ",11,89%,80%,193,Cloud Servers,99987
China,2005,Biotechnology,29.03%," $76,658,566,233 ",4539,1983," $54,252,489,797.29 ",436," $20,629,735,236 ",10,45%,71%,149,AI Chips,222089
China,2009,Telecommunications,45.45%," $36,069,421,029 ",5194,446," $70,538,756,119.05 ",232," $22,814,311,711 ",12,73%,50%,82,AI Chips,660519
China,2011,Semiconductor,44.53%," $65,668,955,973 ",4057,1431," $198,885,553,401.35 ",446," $49,738,003,837 ",4,77%,18%,27,Cloud Servers,531135
China,2012,Biotechnology,49.43%," $9,393,855,958 ",6224,1745," $80,162,858,744.40 ",383," $41,036,151,245 ",6,42%,36%,135,AI Chips,203083
China,2011,Robotics,45.66%," $13,126,794,496 ",8482,429," $151,249,739,532.03 ",305," $30,685,419,994 ",9,42%,38%,102,5G Equipment,508618
Japan,2008,Semiconductor,41.67%," $41,615,750,896 ",4997,1125," $104,479,585,174.29 ",302," $23,733,001,071 ",11,92%,33%,164,AI Chips,384382
China,2012,Cloud Computing,10.50%," $13,689,159,364 ",8003,372," $124,321,545,259.52 ",266," $16,579,991,951 ",12,63%,28%,52,5G Equipment,45591
Japan,2014,Semiconductor,9.63%," $81,409,985,808 ",9239,832," $187,486,622,577.25 ",220," $14,747,891,970 ",9,89%,58%,101,AI Chips,947793
Japan,2020,AI,18.85%," $86,911,096,913 ",5312,210," $148,674,486,942.57 ",459," $19,956,374,151 ",1,67%,27%,156,5G Equipment,703901
China,2020,Software,39.62%," $94,867,967,042 ",5222,1972," $46,139,146,156.61 ",443," $9,856,586,140 ",16,52%,34%,77,Cloud Servers,507960
China,2017,AI,8.26%," $65,152,547,627 ",9977,1712," $133,372,031,256.80 ",401," $11,680,909,877 ",13,55%,39%,51,Semiconductors,953486
Japan,2019,Software,21.59%," $24,635,102,903 ",4434,494," $130,217,985,979.44 ",133," $31,937,993,570 ",12,88%,27%,154,Robots,540478
Japan,2022,Software,9.46%," $84,001,573,013 ",8004,1680," $99,412,231,444.60 ",342," $21,194,317,312 ",17,100%,53%,94,AI Chips,875165
Japan,2020,Biotechnology,29.97%," $80,196,164,399 ",4970,1790," $132,553,802,682.86 ",265," $15,388,739,348 ",16,59%,69%,154,5G Equipment,331760
China,2002,Telecommunications,36.91%," $79,132,513,854 ",6720,1690," $57,129,974,667.25 ",438," $12,921,215,612 ",1,60%,60%,152,Robots,902674
Japan,2001,Telecommunications,37.51%," $66,102,380,308 ",1794,1249," $40,841,168,120.46 ",418," $14,909,561,702 ",5,51%,27%,116,5G Equipment,270303
China,2009,Robotics,23.50%," $51,267,176,310 ",6443,746," $24,273,853,004.81 ",170," $41,589,006,648 ",19,54%,16%,170,Cloud Servers,70781
China,2020,Robotics,30.77%," $54,102,786,288 ",8138,1493," $20,263,694,810.52 ",419," $38,494,058,695 ",16,72%,59%,195,5G Equipment,389007
China,2004,Biotechnology,49.74%," $52,581,468,522 ",9797,460," $198,487,832,105.08 ",265," $6,801,185,816 ",16,59%,13%,17,5G Equipment,237813
China,2018,Telecommunications,32.37%," $35,814,897,921 ",7107,488," $49,966,338,706.87 ",270," $7,256,199,183 ",15,79%,61%,33,Cloud Servers,504208
Japan,2015,Biotechnology,39.06%," $66,270,076,797 ",4713,122," $118,958,746,370.15 ",270," $10,931,660,146 ",17,59%,47%,150,AI Chips,514227
China,2003,AI,37.30%," $76,490,240,780 ",1794,799," $83,000,556,591.41 ",384," $11,673,509,166 ",2,56%,60%,105,AI Chips,829863
China,2006,Cloud Computing,32.80%," $20,800,871,303 ",1576,1596," $135,189,428,728.14 ",430," $20,206,569,578 ",10,70%,56%,82,Cloud Servers,797033
China,2001,AI,19.14%," $78,728,829,938 ",8064,1034," $186,121,480,996.74 ",373," $46,695,468,303 ",8,96%,40%,53,AI Chips,307552
Japan,2020,Robotics,43.52%," $7,714,283,333 ",8275,359," $166,751,825,522.54 ",95," $16,173,215,433 ",7,61%,21%,184,Cloud Servers,790774
China,2011,Biotechnology,46.72%," $29,513,464,246 ",9770,1255," $171,079,246,892.65 ",186," $794,588,988 ",15,74%,22%,190,5G Equipment,215710
Japan,2019,Robotics,20.61%," $12,695,117,359 ",2282,1061," $76,063,691,511.24 ",49," $22,594,527,639 ",10,46%,48%,25,AI Chips,870018
Japan,2012,Biotechnology,41.80%," $97,706,124,030 ",7524,1132," $95,722,328,686.74 ",387," $3,289,713,791 ",10,60%,39%,5,Cloud Servers,83285
China,2013,Software,41.47%," $71,917,951,776 ",6056,1528," $171,562,853,932.30 ",484," $46,990,121,194 ",16,89%,35%,115,5G Equipment,622481
China,2002,Software,17.36%," $15,501,270,937 ",8470,1126," $197,697,228,054.58 ",205," $16,926,286,957 ",17,54%,58%,114,AI Chips,975197
Japan,2006,Semiconductor,44.58%," $38,887,908,028 ",9847,1616," $30,542,845,480.45 ",327," $21,296,443,764 ",15,82%,29%,180,Cloud Servers,913524
Japan,2015,Telecommunications,33.39%," $74,167,925,114 ",8443,776," $16,376,705,295.90 ",336," $6,391,723,748 ",19,90%,74%,131,5G Equipment,231891
Japan,2020,Biotechnology,14.55%," $23,345,382,191 ",3668,1724," $179,610,790,420.57 ",488," $37,737,377,505 ",2,52%,30%,148,Cloud Servers,89645
Japan,2014,Telecommunications,31.98%," $60,133,019,891 ",9793,652," $38,212,019,483.57 ",201," $20,539,455,951 ",19,40%,89%,87,AI Chips,423263
Japan,2002,Telecommunications,22.12%," $11,627,145,418 ",6973,669," $86,809,480,644.28 ",147," $18,843,708,800 ",1,92%,66%,194,Robots,762557
